timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1744696192554,2167,HTTP Request,200,OK,Thread Group 1-94,text,true,,52598,129,9,9,https://www.automationexercise.com/,2074,0,0
1744696192926,1830,HTTP Request,200,OK,Thread Group 1-85,text,true,,52598,129,8,8,https://www.automationexercise.com/,1713,0,0
1744696192723,2172,HTTP Request,200,OK,Thread Group 1-98,text,true,,52606,129,7,7,https://www.automationexercise.com/,2004,0,0
1744696192802,2105,HTTP Request,200,OK,Thread Group 1-92,text,true,,52598,129,6,6,https://www.automationexercise.com/,1940,0,0
1744696192746,2169,HTTP Request,200,OK,Thread Group 1-97,text,true,,52598,129,5,5,https://www.automationexercise.com/,2011,0,0
1744696192751,2174,HTTP Request,200,OK,Thread Group 1-96,text,true,,52598,129,4,4,https://www.automationexercise.com/,2029,0,0
1744696192010,3036,HTTP Request,200,OK,Thread Group 1-93,text,true,,52598,129,3,3,https://www.automationexercise.com/,2917,0,0
1744696194374,695,HTTP Request,200,OK,Thread Group 1-91,text,true,,52620,129,2,2,https://www.automationexercise.com/,588,0,0
1744696188771,6727,HTTP Request,200,OK,Thread Group 1-90,text,true,,52598,129,1,1,https://www.automationexercise.com/,6708,0,1259
1744696195499,496,HTTP Request,200,OK,Thread Group 1-90,text,true,,52606,129,1,1,https://www.automationexercise.com/,277,0,0
